,PID,Longitude,Latitude,Neighborhood
96,527182040,-93.634513,42.059375,StoneBr
97,527182170,-93.632917,42.059239,StoneBr
98,527182190,-93.632913,42.059169,StoneBr
99,527183030,-93.632013,42.059518,StoneBr
100,527183060,-93.631581,42.059636,StoneBr
101,527184020,-93.631622,42.059309,StoneBr
102,527184110,-93.631633,42.059304,StoneBr
103,527190050,-93.631572,42.059332,StoneBr
104,527190220,-93.632571,42.058136,StoneBr
105,527208010,-93.628831,42.061394,StoneBr
106,527210050,-93.629174,42.060516,StoneBr
107,527210060,-93.629016,42.060431,StoneBr
108,527212040,-93.62877,42.061008,StoneBr
109,527212050,-93.628901,42.06056,StoneBr
110,527212060,-93.629075,42.060144,StoneBr
111,527214030,-93.627911,42.060241,StoneBr
112,527214060,-93.627767,42.060111,StoneBr
113,527216070,-93.62655,42.061239,StoneBr
114,527216080,-93.626366,42.061202,StoneBr
115,527225035,-93.6235954,42.0603514,Gilbert
116,527226010,-93.6220148,42.0593867,Gilbert
117,527226020,-93.622299,42.059792,Gilbert
118,527226040,-93.622874,42.060096,Gilbert
119,527250040,-93.625169,42.056702,Gilbert
120,527252050,-93.629538,42.059743,StoneBr
121,527252070,-93.630074,42.058893,StoneBr
122,527252080,-93.629808,42.058896,StoneBr
123,527252090,-93.63007,42.058563,StoneBr
124,527254020,-93.628639,42.059817,StoneBr
125,527256030,-93.628754,42.058998,StoneBr
126,527256040,-93.628723,42.058996,StoneBr
127,527256120,-93.628269,42.058816,StoneBr
128,527258010,-93.628804,42.05885,StoneBr
129,527258020,-93.629357,42.058439,StoneBr
130,527276040,-93.6225667,42.0586718,Gilbert
131,527276150,-93.622971,42.056673,Gilbert
132,527276160,-93.623975,42.056796,Gilbert
133,527301010,-93.638026,42.055607,NWAmes
134,527301080,-93.637875,42.054368,NWAmes
135,527301170,-93.6391494,42.056015,NWAmes
136,527301245,-93.639715,42.054514,NWAmes
137,527301320,-93.637343,42.053532,NWAmes
138,527302020,-93.637876,42.055545,NWAmes
139,527302050,-93.637825,42.054562,NWAmes
140,527302060,-93.637816,42.0545,NWAmes
141,527302070,-93.637808,42.054439,NWAmes
142,527302080,-93.637874,42.054367,NWAmes
143,527302090,-93.637158,42.054395,NWAmes
144,527302110,-93.636655,42.054453,NWAmes
145,527302175,-93.636512,42.055408,NWAmes
146,527302185,-93.636511,42.055358,NWAmes
147,527302210,-93.636505,42.054503,NWAmes
148,527325070,-93.635111,42.054455,NWAmes
149,527325090,-93.634665,42.054941,NWAmes
150,527325110,-93.633973,42.055217,NWAmes
151,527325160,-93.6326645,42.0543376,NWAmes
152,527325240,-93.630299,42.054211,NWAmes
153,527326040,-93.635056,42.055081,NWAmes
154,527326130,-93.633168,42.055432,NWAmes
155,527326150,-93.632417,42.055572,NWAmes
156,527327050,-93.631528,42.054427,NWAmes
157,527327080,-93.631515,42.054956,NWAmes
158,527328010,-93.633002,42.0562619,NWAmes
159,527328020,-93.632669,42.05622,NWAmes
160,527328050,-93.631795,42.056211,NWAmes
161,527352150,-93.637774,42.05184,NWAmes
162,527353020,-93.63745,42.052507,NWAmes
163,527353060,-93.638366,42.052102,NWAmes
164,527353080,-93.638554,42.052353,NWAmes
165,527354040,-93.635486,42.05327,NWAmes
166,527354050,-93.635411,42.053271,NWAmes
167,527354100,-93.634212,42.052719,NWAmes
168,527354160,-93.635153,42.052544,NWAmes
169,527354200,-93.637043,42.05288,NWAmes
170,527355060,-93.6353259,42.0524029,NWAmes
171,527355150,-93.633796,42.052915,NWAmes
172,527355280,-93.636044,42.053418,NWAmes
173,527356020,-93.637387,42.050514,NWAmes
174,527356050,-93.63724,42.05026,NWAmes
175,527356060,-93.637191,42.050176,NWAmes
176,527357020,-93.634714,42.049832,NWAmes
177,527357110,-93.637105,42.050326,NWAmes
178,527357180,-93.63719,42.051473,NWAmes
179,527358060,-93.634581,42.050075,NWAmes
180,527358090,-93.635367,42.049771,NWAmes
181,527358140,-93.633962,42.050346,NWAmes
182,527359010,-93.636497,42.050372,NWAmes
183,527359030,-93.635216,42.049449,NWAmes
184,527359050,-93.634694,42.0496539,NWAmes
185,527359070,-93.6341769,42.04986,NWAmes
186,527359080,-93.633898,42.049956,NWAmes
187,527359160,-93.633757,42.051039,NWAmes
188,527359180,-93.635919,42.049394,NWAmes
189,527364030,-93.639516,42.049106,Somerst
190,527366030,-93.6392308,42.0503771,Somerst
191,527368010,-93.639366,42.049406,Somerst
192,527368020,-93.639366,42.049297,Somerst
193,527375100,-93.632915,42.053166,NWAmes
194,527375160,-93.632369,42.052362,NWAmes
195,527375180,-93.632178,42.052355,NWAmes
196,527375210,-93.630253,42.052448,NWAmes
197,527376090,-93.630348,42.052522,NWAmes
198,527376100,-93.631432,42.05267,NWAmes
199,527376110,-93.632355,42.052359,NWAmes
200,527377030,-93.630289,42.04977,NWAmes
201,527377110,-93.632191,42.048765,NWAmes
202,527378010,-93.631162,42.049608,NWAmes
203,527378020,-93.631129,42.049609,NWAmes
204,527380240,-93.630231,42.051074,NWAmes
205,527401130,-93.626544,42.056306,NAmes
206,527401160,-93.625856,42.056398,NAmes
207,527402060,-93.627875,42.05539,NAmes
208,527402090,-93.627736,42.055392,NAmes
209,527402130,-93.626511,42.055304,NAmes
210,527402150,-93.626331,42.055264,NAmes
211,527402200,-93.626231,42.055147,NAmes
212,527402220,-93.626554,42.054626,NAmes
213,527402240,-93.626565,42.054603,NAmes
214,527402250,-93.626537,42.054592,NAmes
215,527403020,-93.628806,42.055227,NAmes
216,527403040,-93.628707,42.055228,NAmes
217,527403120,-93.627981,42.05446,NAmes
218,527403310,-93.629118,42.053407,NAmes
219,527403360,-93.630208,42.054328,NAmes
220,527404020,-93.626603,42.055184,NAmes
221,527404030,-93.62655,42.055154,NAmes
222,527404050,-93.626722,42.054612,NAmes
223,527404100,-93.627112,42.053547,NAmes
224,527404120,-93.627112,42.053395,NAmes
225,527404140,-93.628047,42.05346,NAmes
226,527404150,-93.62805,42.053503,NAmes
227,527404180,-93.627849,42.054385,NAmes
228,527405130,-93.627037,42.05337,NAmes
229,527405160,-93.625657,42.053306,NAmes
230,527405180,-93.625542,42.053307,NAmes
231,527425025,-93.6247461,42.0562952,NAmes
232,527425035,-93.624265,42.0564348,NAmes
233,527425060,-93.6234986,42.0564419,NAmes
234,527425090,-93.622769,42.056375,NAmes
235,527425110,-93.6223289,42.056461,NAmes
236,527425140,-93.621646,42.056395,NAmes
237,527427090,-93.624798,42.05467,NAmes
238,527427160,-93.624798,42.054789,NAmes
239,527427200,-93.624431,42.055319,NAmes
240,527427210,-93.624411,42.055319,NAmes
241,527427230,-93.624373,42.055318,NAmes
242,527450010,-93.629906,42.052655,BrDale
243,527450030,-93.629747,42.052669,BrDale
244,527450080,-93.6292319,42.0524739,BrDale
245,527450110,-93.628971,42.052794,BrDale
246,527450150,-93.628656,42.052698,BrDale
247,527450210,-93.627932,42.0527019,BrDale
248,527450220,-93.627855,42.052696,BrDale
249,527450250,-93.627629,42.052755,BrDale
250,527450280,-93.627396,42.052758,BrDale
251,527450460,-93.627103,42.051798,BrDale
252,527450520,-93.627114,42.051479,BrDale
253,527451020,-93.629777,42.052294,BrDale
254,527451060,-93.629462,42.052332,BrDale
255,527451110,-93.628119,42.052338,BrDale
256,527451170,-93.627242,42.051833,BrDale
257,527451180,-93.627271,42.051835,BrDale
258,527451290,-93.62765,42.051678,BrDale
259,527451320,-93.627565,42.051683,BrDale
260,527451330,-93.627536,42.051684,BrDale
261,527451380,-93.627366,42.051691,BrDale
262,527451400,-93.627309,42.051687,BrDale
263,527451410,-93.62728,42.051685,BrDale
264,527451450,-93.629877,42.051672,BrDale
265,527451460,-93.629846,42.051673,BrDale
266,527451520,-93.629516,42.051664,BrDale
267,527451540,-93.629456,42.051661,BrDale
268,527451550,-93.629425,42.051659,BrDale
269,527451640,-93.629851,42.051823,BrDale
270,527451650,-93.629881,42.051822,BrDale
271,527452060,-93.627244,42.050615,NPkVill
272,527452070,-93.627169,42.050595,NPkVill
273,527452100,-93.627238,42.050397,NPkVill
274,527452190,-93.627232,42.049672,NPkVill
275,527452290,-93.628857,42.048947,NAmes
276,527452310,-93.62895,42.048946,NAmes
277,527453010,-93.624575,42.05057,NPkVill
278,527453050,-93.624729,42.050705,NPkVill
279,527453060,-93.624748,42.050705,NPkVill
280,527453070,-93.624767,42.050705,NPkVill
281,527453130,-93.625924,42.050683,NPkVill
282,527453140,-93.625945,42.050682,NPkVill
283,527453150,-93.625966,42.050681,NPkVill
284,527453160,-93.625986,42.05068,NPkVill
285,527454050,-93.625918,42.050533,NPkVill
286,527454120,-93.625848,42.050257,NPkVill
287,527454130,-93.625846,42.050213,NPkVill
288,527454200,-93.625848,42.049811,NPkVill
289,527455030,-93.625672,42.049996,NPkVill
290,527455050,-93.625688,42.05009,NPkVill
291,527455060,-93.62569,42.050134,NPkVill
292,527455080,-93.625696,42.050222,NPkVill
293,527455090,-93.625707,42.050397,NPkVill
294,527455100,-93.625709,42.050441,NPkVill
295,527455240,-93.6256036,42.0488934,NAmes
296,527455250,-93.6257971,42.0488205,NAmes
297,527455270,-93.62649,42.04845,NAmes
298,527455280,-93.626521,42.048486,NAmes
299,528102010,-93.658864,42.061472,NridgHt
300,528102030,-93.658873,42.062046,NridgHt
301,528102040,-93.658877,42.0623099,NridgHt
302,528102140,-93.6562749,42.063304,NridgHt
303,528104010,-93.654243,42.063141,NridgHt
304,528106010,-93.658226,42.061901,NridgHt
305,528106020,-93.657828,42.061902,NridgHt
306,528106070,-93.657483,42.06128,NridgHt
307,528106110,-93.657967,42.061284,NridgHt
308,528106120,-93.657991,42.061284,NridgHt
309,528108010,-93.654241,42.062991,NridgHt
310,528108020,-93.654144,42.062992,NridgHt
311,528108040,-93.653955,42.062994,NridgHt
312,528108070,-93.652863,42.062942,NridgHt
313,528108120,-93.653201,42.062352,NridgHt
314,528108130,-93.654439,42.062258,NridgHt
315,528110010,-93.658224,42.062776,NridgHt
316,528110020,-93.657835,42.062789,NridgHt
317,528110040,-93.6570542,42.0628153,NridgHt
318,528110070,-93.6562861,42.0624082,NridgHt
319,528110100,-93.657444,42.062434,NridgHt
320,528110110,-93.657832,42.062432,NridgHt
321,528112020,-93.654645,42.062109,NridgHt
322,528112040,-93.654437,42.062108,NridgHt
323,528112150,-93.65331,42.061504,NridgHt
324,528114010,-93.657984,42.061134,NridgHt
325,528114040,-93.657889,42.061133,NridgHt
326,528114050,-93.657524,42.061131,NridgHt
327,528116010,-93.658854,42.060934,NridgHt
328,528116030,-93.658788,42.060342,NridgHt
329,528118010,-93.657118,42.060272,NridgHt
330,528118020,-93.657149,42.060271,NridgHt
331,528118030,-93.657188,42.06027,NridgHt
332,528118040,-93.657211,42.06027,NridgHt
333,528118050,-93.657235,42.060269,NridgHt
334,528118090,-93.656801,42.060427,NridgHt
335,528120010,-93.6554248,42.061133,NridgHt
336,528120020,-93.653152,42.061382,NridgHt
337,528120030,-93.652884,42.061437,NridgHt
338,528120110,-93.653016,42.060835,NridgHt
339,528120120,-93.65332,42.0608079,NridgHt
340,528120130,-93.65369,42.060766,NridgHt
341,528120150,-93.654689,42.060576,NridgHt
342,528120160,-93.654724,42.060576,NridgHt
343,528120170,-93.65476,42.060575,NridgHt
344,528138010,-93.652084,42.061678,NridgHt
345,528138020,-93.652336,42.060879,NridgHt
346,528138060,-93.652307,42.060298,NridgHt
347,528142020,-93.654734,42.060425,NridgHt
348,528142040,-93.654652,42.060426,NridgHt
349,528142070,-93.6531488,42.060377,NridgHt
350,528142090,-93.652724,42.060178,NridgHt
351,528142110,-93.643412,42.061544,NridgHt
352,528142130,-93.6541267,42.0599123,NridgHt
353,528142140,-93.654443,42.0599011,NridgHt
354,528142150,-93.6547754,42.0598989,NridgHt
355,528150040,-93.657492,42.06113,NridgHt
356,528150070,-93.655051,42.059617,NridgHt
357,528150080,-93.654997,42.059636,NridgHt
358,528150090,-93.655461,42.059825,NridgHt
359,528150110,-93.656249,42.059761,NridgHt
360,528150120,-93.6565389,42.059677,NridgHt
361,528164040,-93.657883,42.058544,NridgHt
362,528164060,-93.656958,42.058484,NridgHt
363,528166060,-93.65604,42.059241,NridgHt
364,528166090,-93.65486,42.058782,NridgHt
365,528166120,-93.65572,42.058683,NridgHt
366,528166150,-93.65699,42.058634,NridgHt
367,528168030,-93.6545189,42.058886,NridgHt
368,528168040,-93.6545189,42.058619,NridgHt
369,528170040,-93.653084,42.05869,NridgHt
370,528170070,-93.652549,42.058573,NridgHt
371,528172020,-93.650626,42.059216,NridgHt
372,528172050,-93.650499,42.059202,NridgHt
373,528172060,-93.65048,42.0592,NridgHt
374,528172070,-93.65045,42.059197,NridgHt
375,528172080,-93.651216,42.058649,NridgHt
376,528172150,-93.6534099,42.059017,NridgHt
377,528174010,-93.649838,42.059175,NridgHt
378,528174020,-93.649828,42.059175,NridgHt
379,528174030,-93.649808,42.059176,NridgHt
380,528174040,-93.649798,42.059176,NridgHt
381,528174050,-93.649779,42.059177,NridgHt
382,528174060,-93.649743,42.059179,NridgHt
383,528174070,-93.649723,42.059183,NridgHt
384,528174080,-93.649714,42.059184,NridgHt
385,528175050,-93.650258,42.058339,NridgHt
386,528175060,-93.650244,42.058336,NridgHt
387,528176010,-93.656067,42.058599,NridgHt
388,528176070,-93.654853,42.057102,NridgHt
389,528178010,-93.6552449,42.05851,NridgHt
390,528178070,-93.655587,42.057028,NridgHt
391,528178090,-93.654914,42.058694,NridgHt
392,528180070,-93.654121,42.057164,NridgHt
393,528180080,-93.654138,42.057164,NridgHt
394,528180110,-93.654187,42.057164,NridgHt
395,528180130,-93.654215,42.057089,NridgHt
396,528181010,-93.649744,42.0582,NridgHt
397,528181040,-93.649525,42.058238,NridgHt
398,528181050,-93.649447,42.058252,NridgHt
399,528181060,-93.649397,42.05826,NridgHt
400,528181070,-93.649319,42.058276,NridgHt
401,528181080,-93.649291,42.058284,NridgHt
402,528186010,-93.654405,42.057019,NridgHt
403,528186030,-93.653868,42.056766,NridgHt
404,528186050,-93.653414,42.056827,NridgHt
405,528186080,-93.652769,42.0570189,NridgHt
406,528186090,-93.652565,42.057124,NridgHt
407,528186110,-93.65414,42.057164,NridgHt
408,528186160,-93.651163,42.057179,NridgHt
409,528186170,-93.6514243,42.0571198,NridgHt
410,528186180,-93.6514849,42.056983,NridgHt
411,528188020,-93.651014,42.057277,NridgHt
412,528188040,-93.650617,42.05758,NridgHt
413,528188060,-93.650238,42.057467,NridgHt
414,528188090,-93.649997,42.057468,NridgHt
415,528188120,-93.651013,42.057181,NridgHt
416,528188150,-93.650607,42.057094,NridgHt
417,528188160,-93.650608,42.057209,NridgHt
418,528190010,-93.65089,42.056616,NridgHt
419,528218020,-93.646429,42.063381,Gilbert
420,528218060,-93.645841,42.062442,Gilbert
421,528218090,-93.645752,42.06232,Gilbert
422,528218100,-93.64573,42.062279,Gilbert
423,528218150,-93.644356,42.061928,Gilbert
424,528220040,-93.64466,42.063183,Gilbert
425,528221050,-93.6443,42.062067,Gilbert
426,528221060,-93.644457,42.062058,Gilbert
427,528221070,-93.645627,42.062404,Gilbert
428,528222010,-93.644213,42.061984,Gilbert
429,528222020,-93.644306,42.061987,Gilbert
430,528222050,-93.644375,42.062974,Gilbert
431,528222090,-93.644366,42.063342,Gilbert
432,528228270,-93.641795,42.062584,Blmngtn
433,528228285,-93.641635,42.06257,Blmngtn
434,528228290,-93.641561,42.062562,Blmngtn
435,528228295,-93.641515,42.062557,Blmngtn
436,528228325,-93.641946,42.063298,Blmngtn
437,528228340,-93.640287,42.063329,Blmngtn
438,528228345,-93.640176,42.063336,Blmngtn
439,528228360,-93.640227,42.063185,Blmngtn
440,528228375,-93.640513,42.062946,Blmngtn
441,528228405,-93.640958,42.062299,Blmngtn
442,528228415,-93.641321,42.062374,Blmngtn
443,528228430,-93.6419,42.0623,Blmngtn
444,528228435,-93.642094,42.062305,Blmngtn
445,528228440,-93.642252,42.062303,Blmngtn
446,528228445,-93.6424399,42.062285,Blmngtn
447,528228450,-93.642597,42.062266,Blmngtn
448,528228455,-93.642911,42.062081,Blmngtn
449,528228460,-93.642914,42.062086,Blmngtn
450,528228465,-93.643039,42.062004,Blmngtn
451,528228540,-93.642326,42.063301,Blmngtn
452,528228555,-93.642177,42.063301,Blmngtn
453,528228565,-93.642116,42.063301,Blmngtn
454,528228580,-93.641522,42.062873,Blmngtn
455,528231020,-93.644076,42.061443,Gilbert
456,528231030,-93.644064,42.061429,Gilbert
457,528231050,-93.64458,42.060239,Gilbert
458,528235010,-93.642749,42.061562,Gilbert
459,528235020,-93.642641,42.061316,Gilbert
460,528235050,-93.642588,42.060293,Gilbert
461,528235090,-93.643312,42.059377,Gilbert
462,528235120,-93.643522,42.059635,Gilbert
463,528235130,-93.6436049,42.059803,Gilbert
464,528235160,-93.643961,42.061541,Gilbert
465,528235180,-93.643964,42.061544,Gilbert
466,528235190,-93.644094,42.061727,Gilbert
467,528235200,-93.644106,42.061739,Gilbert
468,528240020,-93.641781,42.061318,Gilbert
469,528240030,-93.641772,42.061149,Gilbert
470,528240040,-93.641771,42.0609759,Gilbert
471,528240050,-93.641416,42.06132,Gilbert
472,528240060,-93.641488,42.061114,Gilbert
473,528240070,-93.641487,42.060977,Gilbert
474,528240080,-93.641467,42.060836,Gilbert
475,528240130,-93.642447,42.061193,Gilbert
476,528240150,-93.642626,42.061656,Gilbert
477,528250010,-93.639977,42.061392,Gilbert
478,528250020,-93.640051,42.061365,Gilbert
479,528250030,-93.640051,42.061312,Gilbert
480,528250040,-93.640065,42.063283,Gilbert
481,528250060,-93.640211,42.060074,Gilbert
482,528250070,-93.64021,42.060021,Gilbert
483,528250100,-93.641325,42.060936,Gilbert
484,528253010,-93.649649,42.058368,NridgHt
485,528275060,-93.642713,42.05865,Gilbert
486,528275070,-93.642813,42.05859,Gilbert
487,528275080,-93.642913,42.05853,Gilbert
488,528275110,-93.64334,42.059181,Gilbert
489,528275160,-93.642932,42.059481,Gilbert
490,528280100,-93.641281,42.057905,Gilbert
491,528280110,-93.641279,42.057981,Gilbert
492,528280130,-93.641331,42.057986,Gilbert
493,528280150,-93.642836,42.058401,Gilbert
494,528280180,-93.642397,42.058595,Gilbert
495,528280230,-93.641919,42.059068,Gilbert
496,528290010,-93.6442698,42.0600066,Gilbert
497,528290030,-93.644251,42.059605,Gilbert
498,528290060,-93.643641,42.059526,Gilbert
499,528290090,-93.643632,42.059507,Gilbert
500,528290120,-93.641377,42.057839,Gilbert
501,528290140,-93.64136,42.057838,Gilbert
502,528290170,-93.641323,42.057836,Gilbert
503,528290180,-93.641313,42.057834,Gilbert
504,528290190,-93.641303,42.057833,Gilbert
505,528292020,-93.641337,42.057103,Gilbert
506,528292030,-93.641367,42.057098,Gilbert
507,528292040,-93.641397,42.057093,Gilbert
508,528292060,-93.641342,42.05695,Gilbert
509,528292070,-93.641312,42.056955,Gilbert
510,528294010,-93.640658,42.058897,Gilbert
511,528294050,-93.640879,42.058668,Gilbert
512,528294060,-93.640959,42.058581,Gilbert
513,528294070,-93.641053,42.058461,Gilbert
514,528315030,-93.655739,42.05443,NoRidge
515,528315060,-93.654594,42.053879,NoRidge
516,528315070,-93.654519,42.05384,NoRidge
517,528315080,-93.654444,42.053801,NoRidge
518,528315090,-93.65429,42.053749,NoRidge
519,528315110,-93.65412,42.053666,NoRidge
520,528320060,-93.657851,42.053314,NoRidge
521,528321010,-93.657163,42.053911,NoRidge
522,528322020,-93.655711,42.053364,NoRidge
523,528326030,-93.653324,42.055748,NoRidge
524,528326060,-93.652894,42.055751,NoRidge
525,528326110,-93.650932,42.055777,NoRidge
526,528327010,-93.6532,42.055601,NoRidge
527,528327060,-93.651096,42.055627,NoRidge
528,528327070,-93.650957,42.055626,NoRidge
529,528328100,-93.651381,42.054386,NoRidge
530,528340030,-93.652641,42.05359,NoRidge
531,528344020,-93.652777,42.053436,NoRidge
532,528344040,-93.652608,42.053441,NoRidge
533,528344060,-93.65227,42.053154,NoRidge
534,528344070,-93.652334,42.053243,NoRidge
535,528344100,-93.65238,42.053041,NoRidge
536,528346050,-93.651562,42.0522319,NoRidge
537,528348030,-93.649901,42.053467,NoRidge
538,528351010,-93.657271,42.05198,NoRidge
539,528354050,-93.655555,42.052668,NoRidge
540,528354060,-93.655159,42.052361,NoRidge
541,528354100,-93.655279,42.052272,NoRidge
542,528354110,-93.655905,42.052247,NoRidge
543,528358010,-93.654206,42.051721,NoRidge
544,528358030,-93.653915,42.05178,NoRidge
545,528360050,-93.655997,42.049423,NoRidge
546,528363020,-93.656036,42.050383,NoRidge
547,528363050,-93.655988,42.050411,NoRidge
548,528363070,-93.655704,42.051073,NoRidge
549,528363110,-93.653929,42.05162,NoRidge
550,528363130,-93.653616,42.051674,NoRidge
551,528364110,-93.653712,42.05048,NoRidge
552,528365060,-93.65579,42.049501,NoRidge
553,528365070,-93.654048,42.049701,NoRidge
554,528365080,-93.653908,42.049696,NoRidge
555,528365090,-93.653608,42.049687,NoRidge
556,528366040,-93.653479,42.049528,NoRidge
557,528366050,-93.65334,42.049518,NoRidge
558,528366070,-93.652946,42.049509,NoRidge
559,528376010,-93.653864,42.052416,NoRidge
560,528382020,-93.650356,42.052457,NoRidge
561,528382030,-93.650578,42.052437,NoRidge
562,528385050,-93.651503,42.05161,NoRidge
563,528386040,-93.652972,42.050909,NoRidge
564,528387030,-93.652117,42.050215,NoRidge
565,528387050,-93.651801,42.050692,NoRidge
566,528390020,-93.650996,42.049484,NoRidge
567,528390100,-93.650529,42.049921,NoRidge
568,528390210,-93.650822,42.050971,NoRidge
569,528427010,-93.644107,42.054236,Somerst
570,528427020,-93.644121,42.054282,Somerst
571,528427040,-93.644118,42.054408,Somerst
572,528427070,-93.644145,42.055157,Somerst
573,528429050,-93.642334,42.055102,Somerst
574,528429070,-93.642108,42.054415,Somerst
575,528429090,-93.642069,42.054318,Somerst
576,528429100,-93.642082,42.054318,Somerst
577,528429110,-93.64176,42.054177,Somerst
578,528429120,-93.64178,42.054176,Somerst
579,528431020,-93.64247,42.055036,Somerst
580,528431040,-93.642243,42.054354,Somerst
581,528431050,-93.642234,42.054309,Somerst
582,528431060,-93.642376,42.054306,Somerst
583,528431070,-93.642553,42.054302,Somerst
584,528431120,-93.64403,42.055517,Somerst
585,528435020,-93.644024,42.054227,Somerst
586,528435040,-93.643836,42.054153,Somerst
587,528435050,-93.642579,42.054151,Somerst
588,528435070,-93.642344,42.054157,Somerst
589,528439010,-93.643788,42.053183,Somerst
590,528439030,-93.643635,42.053183,Somerst
591,528439040,-93.643544,42.053185,Somerst
592,528439060,-93.64236,42.053212,Somerst
593,528439080,-93.642197,42.053227,Somerst
594,528441020,-93.641251,42.053258,Somerst
595,528441080,-93.641251,42.053108,Somerst
596,528441090,-93.641296,42.053108,Somerst
597,528445060,-93.642368,42.05306,Somerst
598,528445070,-93.642275,42.053067,Somerst
599,528456180,-93.650321,42.051804,Somerst
600,528456200,-93.650361,42.0518,Somerst
601,528456220,-93.6504,42.051797,Somerst
602,528456230,-93.65042,42.051795,Somerst
603,528456240,-93.65044,42.051793,Somerst
604,528458030,-93.650397,42.051646,Somerst
605,528458060,-93.650338,42.051652,Somerst
606,528458070,-93.650318,42.051653,Somerst
607,528458080,-93.650299,42.051655,Somerst
