,PID,Longitude,Latitude,Neighborhood,Address,NeighborhoodFullname,Directions,BldgType,GarageCars
20,527105050,-93.639062,42.05996,Gilbert,3913 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
21,527105060,-93.639067,42.059909,Gilbert,3907 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
22,527105070,-93.639388,42.059956,Gilbert,2209 STONE BROOKE RD,Gilbert,North,1Fam,2.0
23,527105130,-93.639915,42.063294,Gilbert,4006 HYDE AVE,Gilbert,North,1Fam,3.0
24,527105140,-93.63988,42.061275,Gilbert,4012 HYDE AVE,Gilbert,North,1Fam,2.0
25,527106010,-93.637871,42.061407,Gilbert,4033 EISENHOWER AVE,Gilbert,North,1Fam,2.0
26,527106050,-93.637796,42.061231,Gilbert,4009 EISENHOWER AVE,Gilbert,North,1Fam,2.0
27,527106140,-93.638775,42.060771,Gilbert,4008 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
28,527106150,-93.638778,42.060822,Gilbert,4014 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
29,527107010,-93.637482,42.060369,Gilbert,3902 EISENHOWER AVE,Gilbert,North,1Fam,2.0
30,527107020,-93.637482,42.060425,Gilbert,3908 EISENHOWER AVE,Gilbert,North,1Fam,2.0
31,527107030,-93.637566,42.06048,Gilbert,3914 EISENHOWER AVE,Gilbert,North,1Fam,2.0
32,527107040,-93.63736,42.060466,Gilbert,1910 WYNGATE DR,Gilbert,North,1Fam,2.0
33,527107090,-93.636718,42.060639,Gilbert,1936 WYNGATE DR,Gilbert,North,1Fam,2.0
34,527107120,-93.636378,42.060736,Gilbert,1948 WYNGATE DR,Gilbert,North,1Fam,2.0
35,527107130,-93.6364,42.060896,Gilbert,1952 WYNGATE DR,Gilbert,North,1Fam,2.0
36,527107210,-93.636948,42.0623,Gilbert,2023 WYNGATE DR,Gilbert,North,1Fam,2.0
37,527107240,-93.636373,42.061879,Gilbert,2035 WYNGATE DR,Gilbert,North,1Fam,2.0
38,527108030,-93.635935,42.062802,Gilbert,4313 HARRISON CIR,Gilbert,North,1Fam,2.0
39,527108040,-93.635837,42.062798,Gilbert,4309 HARRISON CIR,Gilbert,North,1Fam,3.0
40,527108060,-93.635798,42.062891,Gilbert,4301 HARRISON CIR,Gilbert,North,1Fam,3.0
41,527108070,-93.635838,42.062956,Gilbert,4302 HARRISON CIR,Gilbert,North,1Fam,3.0
42,527108090,-93.635932,42.062956,Gilbert,4316 HARRISON CIR,Gilbert,North,1Fam,2.0
43,527110020,-93.637442,42.060598,Gilbert,1909 WYNGATE DR,Gilbert,North,1Fam,2.0
44,527110080,-93.636146,42.061664,Gilbert,2006 WYNGATE DR,Gilbert,North,1Fam,2.0
45,527110120,-93.636972,42.061326,Gilbert,2036 WYNGATE DR,Gilbert,North,1Fam,2.0
46,527110130,-93.637189,42.061242,Gilbert,2040 WYNGATE DR,Gilbert,North,1Fam,2.0
47,527126030,-93.634341,42.063067,StoneBr,4321 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
48,527127100,-93.634265,42.062903,StoneBr,1801 WATERBURY CIR,Stone Brook,North,TwnhsE,2.0
49,527127140,-93.633876,42.062976,StoneBr,1814 WATERBURY CIR,Stone Brook,North,TwnhsE,2.0
50,527127150,-93.633792,42.062978,StoneBr,1818 WATERBURY CIR,Stone Brook,North,TwnhsE,2.0
51,527131030,-93.633739,42.061981,StoneBr,4239 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
52,527131110,-93.633781,42.061374,StoneBr,4207 STONE BROOKE RD,Stone Brook,North,1Fam,2.0
53,527132090,-93.633547,42.061633,StoneBr,4202 STONE BROOKE RD,Stone Brook,North,1Fam,2.0
54,527140090,-93.633905,42.060865,StoneBr,4029 FLETCHER BLVD,Stone Brook,North,TwnhsE,2.0
55,527145080,-93.633826,42.060728,StoneBr,4024 FLETCHER BLVD,Stone Brook,North,TwnhsE,2.0
56,527145090,-93.633797,42.06076,StoneBr,4028 FLETCHER BLVD,Stone Brook,North,TwnhsE,2.0
57,527146010,-93.633024,42.061178,StoneBr,4139 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
58,527146030,-93.632852,42.06112,StoneBr,4131 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
59,527146135,-93.631604,42.060625,StoneBr,4019 STONE BROOKE RD,Stone Brook,North,1Fam,2.0
60,527158020,-93.635716,42.0591,Gilbert,1911 STONE BROOKE RD,Gilbert,North,1Fam,2.0
61,527158090,-93.636345,42.059592,Gilbert,3928 BROOKDALE CIR,Gilbert,North,1Fam,2.0
62,527161010,-93.639151,42.059408,Gilbert,3839 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
63,527161040,-93.63921,42.059283,Gilbert,3823 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
64,527161090,-93.640613,42.058953,Gilbert,3842 HYDE AVE,Gilbert,North,1Fam,2.0
65,527162080,-93.637865,42.059562,Gilbert,3813 EISENHOWER AVE,Gilbert,North,1Fam,2.0
66,527162090,-93.637883,42.059517,Gilbert,3809 EISENHOWER AVE,Gilbert,North,1Fam,2.0
67,527162110,-93.639069,42.059129,Gilbert,3806 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
68,527162120,-93.639069,42.059161,Gilbert,3810 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
69,527162130,-93.639068,42.059193,Gilbert,3814 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
70,527162140,-93.639068,42.059242,Gilbert,3820 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
71,527162180,-93.639007,42.059364,Gilbert,3840 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
72,527163010,-93.636947,42.05848,Gilbert,3835 BROOKDALE AVE,Gilbert,North,1Fam,2.0
73,527163020,-93.636949,42.058421,Gilbert,3831 BROOKDALE AVE,Gilbert,North,1Fam,2.0
74,527163040,-93.636955,42.058274,Gilbert,3821 BROOKDALE AVE,Gilbert,North,1Fam,2.0
75,527163070,-93.637046,42.058059,Gilbert,3803 BROOKDALE AVE,Gilbert,North,1Fam,2.0
76,527163080,-93.637848,42.059293,Gilbert,3804 EISENHOWER AVE,Gilbert,North,1Fam,2.0
77,527163100,-93.637763,42.059411,Gilbert,3812 EISENHOWER AVE,Gilbert,North,1Fam,2.0
78,527163130,-93.637671,42.059645,Gilbert,3828 EISENHOWER AVE,Gilbert,North,1Fam,2.0
79,527164020,-93.635824,42.058194,Gilbert,3823 COLUMBINE AVE,Gilbert,North,1Fam,2.0
80,527164060,-93.635753,42.05793,Gilbert,3801 COLUMBINE AVE,Gilbert,North,1Fam,2.0
81,527164090,-93.636822,42.058173,Gilbert,3814 BROOKDALE AVE,Gilbert,North,1Fam,2.0
82,527164120,-93.636798,42.058445,Gilbert,3832 BROOKDALE AVE,Gilbert,North,1Fam,2.0
83,527165010,-93.637279,42.05701,Gilbert,2018 TAYLOR CIR,Gilbert,North,1Fam,2.0
84,527165020,-93.637299,42.057006,Gilbert,2012 TAYLOR CIR,Gilbert,North,1Fam,2.0
85,527165100,-93.637917,42.05817,Gilbert,3724 EISENHOWER AVE,Gilbert,North,1Fam,2.0
86,527165130,-93.636047,42.057854,Gilbert,1930 WINDFIELD DR,Gilbert,North,1Fam,2.0
87,527165170,-93.635833,42.057533,Gilbert,3715 COLUMBINE CIR,Gilbert,North,1Fam,2.0
88,527165230,-93.635951,42.057419,Gilbert,3720 COLUMBINE CIR,Gilbert,North,1Fam,2.0
89,527166010,-93.639325,42.058201,Gilbert,2218 WINDFIELD DR,Gilbert,North,1Fam,2.0
90,527166030,-93.639293,42.058201,Gilbert,2206 WINDFIELD DR,Gilbert,North,1Fam,2.0
91,527166040,-93.638647,42.058151,Gilbert,2122 WINDFIELD DR,Gilbert,North,1Fam,2.0
92,527175130,-93.633329,42.057022,Gilbert,1711 TOP O HOLLOW RD,Gilbert,North,1Fam,2.0
93,527180040,-93.634626,42.057268,Gilbert,3629 FLETCHER BLVD,Gilbert,North,1Fam,2.0
94,527180100,-93.634644,42.058747,Gilbert,3817 FLETCHER BLVD,Gilbert,North,1Fam,2.0
95,527182020,-93.634231,42.059599,StoneBr,3916 FLETCHER BLVD,Stone Brook,North,TwnhsE,2.0
96,527182040,-93.634513,42.059375,StoneBr,3908 FLETCHER BLVD,Stone Brook,North,TwnhsE,2.0
97,527182170,-93.632917,42.059239,StoneBr,3908 STONE BROOKE CIR,Stone Brook,North,TwnhsE,2.0
98,527182190,-93.632913,42.059169,StoneBr,3904 STONE BROOKE CIR,Stone Brook,North,TwnhsE,2.0
99,527183030,-93.632013,42.059518,StoneBr,1527 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
100,527183060,-93.631581,42.059636,StoneBr,1519 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
101,527184020,-93.631622,42.059309,StoneBr,1530 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
102,527184110,-93.631633,42.059304,StoneBr,1512 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
103,527190050,-93.631572,42.059332,StoneBr,1608 STONE BROOKE RD,Stone Brook,North,TwnhsE,2.0
104,527190220,-93.632571,42.058136,StoneBr,1601 WOODHAVEN CIR,Stone Brook,North,1Fam,2.0
105,527208010,-93.628831,42.061394,StoneBr,1408 EDGEWATER CT,Stone Brook,North,1Fam,3.0
106,527210050,-93.629174,42.060516,StoneBr,1407 PANORAMIC CT,Stone Brook,North,1Fam,3.0
107,527210060,-93.629016,42.060431,StoneBr,1401 PANORAMIC CT,Stone Brook,North,1Fam,3.0
108,527212040,-93.62877,42.061008,StoneBr,4020 EDGEWATER DR,Stone Brook,North,1Fam,3.0
109,527212050,-93.628901,42.06056,StoneBr,4014 EDGEWATER DR,Stone Brook,North,1Fam,3.0
110,527212060,-93.629075,42.060144,StoneBr,4008 EDGEWATER DR,Stone Brook,North,1Fam,3.0
111,527214030,-93.627911,42.060241,StoneBr,4013 FRANCES E DAVIS CT,Stone Brook,North,1Fam,3.0
112,527214060,-93.627767,42.060111,StoneBr,4008 FRANCES E DAVIS CT,Stone Brook,North,1Fam,3.0
113,527216070,-93.62655,42.061239,StoneBr,4126 LAURA CT,Stone Brook,North,1Fam,3.0
114,527216080,-93.626366,42.061202,StoneBr,4120 LAURA CT,Stone Brook,North,1Fam,3.0
115,527225035,-93.6235954,42.0603514,Gilbert,4011 DAWES DR,Gilbert,North,1Fam,2.0
116,527226010,-93.6220148,42.0593867,Gilbert,3906 DAWES DR,Gilbert,North,1Fam,2.0
117,527226020,-93.622299,42.059792,Gilbert,3920 DAWES DR,Gilbert,North,1Fam,2.0
118,527226040,-93.622874,42.060096,Gilbert,4014 DAWES DR,Gilbert,North,2fmCon,3.0
119,527250040,-93.625169,42.056702,Gilbert,1121 TOP O HOLLOW RD 1123,Gilbert,North,2fmCon,2.0
120,527252050,-93.629538,42.059743,StoneBr,3909 HOOVER AVE,Stone Brook,North,TwnhsE,2.0
121,527252070,-93.630074,42.058893,StoneBr,3817 HOOVER AVE,Stone Brook,North,1Fam,2.0
122,527252080,-93.629808,42.058896,StoneBr,3811 HOOVER AVE,Stone Brook,North,TwnhsE,2.0
123,527252090,-93.63007,42.058563,StoneBr,3807 HOOVER AVE,Stone Brook,North,TwnhsE,2.0
124,527254020,-93.628639,42.059817,StoneBr,1214 ADAMS ST,Stone Brook,North,1Fam,3.0
125,527256030,-93.628754,42.058998,StoneBr,1309 KINYON CIR,Stone Brook,North,1Fam,2.0
126,527256040,-93.628723,42.058996,StoneBr,1303 KINYON CIR,Stone Brook,North,1Fam,3.0
127,527256120,-93.628269,42.058816,StoneBr,1210 KINYON CIR,Stone Brook,North,1Fam,3.0
128,527258010,-93.628804,42.05885,StoneBr,1316 KINYON CIR,Stone Brook,North,1Fam,3.0
129,527258020,-93.629357,42.058439,StoneBr,3802 HOOVER AVE,Stone Brook,North,1Fam,2.0
130,527276040,-93.6225667,42.0586718,Gilbert,3805 DAWES DR,Gilbert,North,1Fam,2.0
131,527276150,-93.622971,42.056673,Gilbert,917 TOP O HOLLOW RD,Gilbert,North,1Fam,2.0
132,527276160,-93.623975,42.056796,Gilbert,3616 CALHOUN AVE,Gilbert,North,1Fam,2.0
133,527301010,-93.638026,42.055607,NWAmes,3421 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
134,527301080,-93.637875,42.054368,NWAmes,2101 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
135,527301170,-93.6391494,42.056015,NWAmes,2322 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
136,527301245,-93.639715,42.054514,NWAmes,2211 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
137,527301320,-93.637343,42.053532,NWAmes,3217 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
138,527302020,-93.637876,42.055545,NWAmes,3414 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
139,527302050,-93.637825,42.054562,NWAmes,3318 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
140,527302060,-93.637816,42.0545,NWAmes,3312 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
141,527302070,-93.637808,42.054439,NWAmes,3306 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
142,527302080,-93.637874,42.054367,NWAmes,3300 EISENHOWER AVE,Northwest Ames,North,1Fam,3.0
143,527302090,-93.637158,42.054395,NWAmes,2009 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
144,527302110,-93.636655,42.054453,NWAmes,3309 CLINTON CT,Northwest Ames,North,1Fam,2.0
145,527302175,-93.636512,42.055408,NWAmes,3422 CLINTON CT,Northwest Ames,North,1Fam,2.0
146,527302185,-93.636511,42.055358,NWAmes,3416 CLINTON CT,Northwest Ames,North,1Fam,2.0
147,527302210,-93.636505,42.054503,NWAmes,3314 CLINTON CT,Northwest Ames,North,1Fam,2.0
148,527325070,-93.635111,42.054455,NWAmes,1904 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
149,527325090,-93.634665,42.054941,NWAmes,1814 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
150,527325110,-93.633973,42.055217,NWAmes,1802 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
151,527325160,-93.6326645,42.0543376,NWAmes,1624 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
152,527325240,-93.630299,42.054211,NWAmes,1502 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
153,527326040,-93.635056,42.055081,NWAmes,3412 TAFT AVE,Northwest Ames,North,1Fam,2.0
154,527326130,-93.633168,42.055432,NWAmes,1717 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
155,527326150,-93.632417,42.055572,NWAmes,1709 BUCHANAN DR,Northwest Ames,North,1Fam,2.0
156,527327050,-93.631528,42.054427,NWAmes,3323 BUCHANAN CT,Northwest Ames,North,1Fam,2.0
157,527327080,-93.631515,42.054956,NWAmes,3411 BUCHANAN CT,Northwest Ames,North,1Fam,2.0
158,527328010,-93.633002,42.0562619,NWAmes,1702 TOP O HOLLOW RD,Northwest Ames,North,1Fam,2.0
159,527328020,-93.632669,42.05622,NWAmes,1624 TOP O HOLLOW RD,Northwest Ames,North,1Fam,2.0
160,527328050,-93.631795,42.056211,NWAmes,1606 TOP O HOLLOW RD,Northwest Ames,North,1Fam,2.0
161,527352150,-93.637774,42.05184,NWAmes,2108 STEVENSON DR,Northwest Ames,North,1Fam,2.0
162,527353020,-93.63745,42.052507,NWAmes,3103 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
163,527353060,-93.638366,42.052102,NWAmes,2129 STEVENSON DR,Northwest Ames,North,1Fam,2.0
164,527353080,-93.638554,42.052353,NWAmes,2141 STEVENSON DR,Northwest Ames,North,1Fam,2.0
165,527354040,-93.635486,42.05327,NWAmes,2006 POLK DR,Northwest Ames,North,1Fam,2.0
166,527354050,-93.635411,42.053271,NWAmes,2000 POLK DR,Northwest Ames,North,1Fam,2.0
167,527354100,-93.634212,42.052719,NWAmes,1915 STEVENSON DR,Northwest Ames,North,1Fam,2.0
168,527354160,-93.635153,42.052544,NWAmes,2009 STEVENSON DR,Northwest Ames,North,1Fam,2.0
169,527354200,-93.637043,42.05288,NWAmes,3112 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
170,527355060,-93.6353259,42.0524029,NWAmes,1942 STEVENSON DR,Northwest Ames,North,1Fam,2.0
171,527355150,-93.633796,42.052915,NWAmes,1910 STEVENSON DR,Northwest Ames,North,1Fam,2.0
172,527355280,-93.636044,42.053418,NWAmes,2027 POLK DR,Northwest Ames,North,1Fam,2.0
173,527356020,-93.637387,42.050514,NWAmes,2935 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
174,527356050,-93.63724,42.05026,NWAmes,2917 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
175,527356060,-93.637191,42.050176,NWAmes,2911 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
176,527357020,-93.634714,42.049832,NWAmes,2953 MONROE DR,Northwest Ames,North,1Fam,2.0
177,527357110,-93.637105,42.050326,NWAmes,2918 EISENHOWER AVE,Northwest Ames,North,1Fam,2.0
178,527357180,-93.63719,42.051473,NWAmes,3008 EISENHOWER CIR,Northwest Ames,North,1Fam,4.0
179,527358060,-93.634581,42.050075,NWAmes,2944 MONROE DR,Northwest Ames,North,1Fam,2.0
180,527358090,-93.635367,42.049771,NWAmes,2966 MONROE DR,Northwest Ames,North,1Fam,2.0
181,527358140,-93.633962,42.050346,NWAmes,2851 MONROE DR,Northwest Ames,North,1Fam,2.0
182,527359010,-93.636497,42.050372,NWAmes,2814 MONROE DR,Northwest Ames,North,1Fam,2.0
183,527359030,-93.635216,42.049449,NWAmes,2826 MONROE DR,Northwest Ames,North,1Fam,2.0
184,527359050,-93.634694,42.0496539,NWAmes,2838 MONROE DR,Northwest Ames,North,1Fam,2.0
185,527359070,-93.6341769,42.04986,NWAmes,2850 MONROE DR,Northwest Ames,North,1Fam,2.0
186,527359080,-93.633898,42.049956,NWAmes,2854 MONROE DR,Northwest Ames,North,1Fam,2.0
187,527359160,-93.633757,42.051039,NWAmes,2888 MONROE DR,Northwest Ames,North,1Fam,2.0
188,527359180,-93.635919,42.049394,NWAmes,2985 MONROE DR,Northwest Ames,North,1Fam,2.0
189,527364030,-93.639516,42.049106,Somerst,2723 SOMERSET DR,Somerset,North West,1Fam,2.0
190,527366030,-93.6392308,42.0503771,Somerst,2818 SOMERSET DR,Somerset,North West,1Fam,2.0
191,527368010,-93.639366,42.049406,Somerst,2754 SOMERSET DR,Somerset,North West,1Fam,2.0
192,527368020,-93.639366,42.049297,Somerst,2738 SOMERSET DR,Somerset,North West,1Fam,2.0
193,527375100,-93.632915,42.053166,NWAmes,1632 TRUMAN DR,Northwest Ames,North,1Fam,2.0
194,527375160,-93.632369,42.052362,NWAmes,1608 TRUMAN DR,Northwest Ames,North,1Fam,2.0
195,527375180,-93.632178,42.052355,NWAmes,1600 TRUMAN DR,Northwest Ames,North,1Fam,2.0
196,527375210,-93.630253,42.052448,NWAmes,1500 TRUMAN DR,Northwest Ames,North,1Fam,2.0
197,527376090,-93.630348,42.052522,NWAmes,1509 TRUMAN DR,Northwest Ames,North,1Fam,2.0
198,527376100,-93.631432,42.05267,NWAmes,1603 TRUMAN DR,Northwest Ames,North,1Fam,2.0
199,527376110,-93.632355,42.052359,NWAmes,1607 TRUMAN DR,Northwest Ames,North,1Fam,2.0
200,527377030,-93.630289,42.04977,NWAmes,1509 JACKSON DR,Northwest Ames,North,1Fam,2.0
201,527377110,-93.632191,42.048765,NWAmes,1642 JOHNSON ST,Northwest Ames,North,1Fam,2.0
202,527378010,-93.631162,42.049608,NWAmes,1608 JACKSON DR,Northwest Ames,North,1Fam,2.0
203,527378020,-93.631129,42.049609,NWAmes,1604 JACKSON DR,Northwest Ames,North,1Fam,2.0
204,527380240,-93.630231,42.051074,NWAmes,1501 REAGAN DR,Northwest Ames,North,1Fam,3.0
205,527401130,-93.626544,42.056306,NAmes,1116 TOP O HOLLOW RD,North Ames,North,Duplex,2.0
206,527401160,-93.625856,42.056398,NAmes,1104 TOP O HOLLOW RD,North Ames,North,Duplex,0.0
207,527402060,-93.627875,42.05539,NAmes,1323 JEFFERSON ST,North Ames,North,1Fam,2.0
208,527402090,-93.627736,42.055392,NAmes,1309 JEFFERSON ST,North Ames,North,1Fam,1.0
209,527402130,-93.626511,42.055304,NAmes,1217 JEFFERSON ST,North Ames,North,1Fam,1.0
210,527402150,-93.626331,42.055264,NAmes,3323 JEFFERSON CIR,North Ames,North,1Fam,2.0
211,527402200,-93.626231,42.055147,NAmes,3328 JEFFERSON CIR,North Ames,North,1Fam,2.0
212,527402220,-93.626554,42.054626,NAmes,3316 GARNER AVE,North Ames,North,1Fam,2.0
213,527402240,-93.626565,42.054603,NAmes,1111 GARNER CIR,North Ames,North,1Fam,2.0
214,527402250,-93.626537,42.054592,NAmes,1115 GARNER CIR,North Ames,North,1Fam,2.0
215,527403020,-93.628806,42.055227,NAmes,1416 JEFFERSON ST,North Ames,North,1Fam,1.0
216,527403040,-93.628707,42.055228,NAmes,1406 JEFFERSON ST,North Ames,North,1Fam,2.0
217,527403120,-93.627981,42.05446,NAmes,3307 NIXON AVE,North Ames,North,1Fam,0.0
218,527403310,-93.629118,42.053407,NAmes,1413 WHEELER ST,North Ames,North,1Fam,2.0
219,527403360,-93.630208,42.054328,NAmes,3304 HOOVER AVE,North Ames,North,1Fam,2.0
220,527404020,-93.626603,42.055184,NAmes,1218 JEFFERSON ST,North Ames,North,1Fam,2.0
221,527404030,-93.62655,42.055154,NAmes,1212 JEFFERSON ST,North Ames,North,1Fam,1.0
222,527404050,-93.626722,42.054612,NAmes,3305 GARNER AVE,North Ames,North,1Fam,1.0
223,527404100,-93.627112,42.053547,NAmes,3215 GARNER AVE,North Ames,North,1Fam,1.0
224,527404120,-93.627112,42.053395,NAmes,3203 GARNER AVE,North Ames,North,1Fam,2.0
225,527404140,-93.628047,42.05346,NAmes,3210 NIXON AVE,North Ames,North,1Fam,4.0
226,527404150,-93.62805,42.053503,NAmes,3214 NIXON AVE,North Ames,North,1Fam,1.0
227,527404180,-93.627849,42.054385,NAmes,3304 NIXON AVE,North Ames,North,1Fam,2.0
228,527405130,-93.627037,42.05337,NAmes,1202 WHEELER ST,North Ames,North,1Fam,2.0
229,527405160,-93.625657,42.053306,NAmes,1122 WHEELER ST,North Ames,North,1Fam,2.0
230,527405180,-93.625542,42.053307,NAmes,1112 WHEELER ST,North Ames,North,1Fam,2.0
231,527425025,-93.6247461,42.0562952,NAmes,1012 TOP O HOLLOW RD,North Ames,North,1Fam,1.0
232,527425035,-93.624265,42.0564348,NAmes,908 TOP O HOLLOW RD,North Ames,North,1Fam,2.0
233,527425060,-93.6234986,42.0564419,NAmes,902 TOP O HOLLOW RD,North Ames,North,1Fam,2.0
234,527425090,-93.622769,42.056375,NAmes,808 TOP O HOLLOW RD,North Ames,North,1Fam,0.0
235,527425110,-93.6223289,42.056461,NAmes,804 TOP O HOLLOW RD,North Ames,North,1Fam,2.0
236,527425140,-93.621646,42.056395,NAmes,704 TOP O HOLLOW RD,North Ames,North,1Fam,2.0
237,527427090,-93.624798,42.05467,NAmes,3301 POLARIS DR,North Ames,North,TwnhsE,1.0
238,527427160,-93.624798,42.054789,NAmes,3315 POLARIS DR,North Ames,North,TwnhsE,2.0
239,527427200,-93.624431,42.055319,NAmes,3403 POLARIS DR,North Ames,North,TwnhsE,2.0
240,527427210,-93.624411,42.055319,NAmes,3405 POLARIS DR,North Ames,North,TwnhsE,2.0
241,527427230,-93.624373,42.055318,NAmes,3409 POLARIS DR,North Ames,North,TwnhsE,2.0
242,527450010,-93.629906,42.052655,BrDale,1471 TRUMAN PL,Briardale,North,TwnhsE,2.0
243,527450030,-93.629747,42.052669,BrDale,1463 TRUMAN PL,Briardale,North,Twnhs,1.0
244,527450080,-93.6292319,42.0524739,BrDale,1437 TRUMAN PL,Briardale,North,TwnhsE,2.0
245,527450110,-93.628971,42.052794,BrDale,1425 TRUMAN PL,Briardale,North,Twnhs,1.0
246,527450150,-93.628656,42.052698,BrDale,1409 TRUMAN PL,Briardale,North,Twnhs,1.0
247,527450210,-93.627932,42.0527019,BrDale,1333 TRUMAN PL,Briardale,North,Twnhs,1.0
248,527450220,-93.627855,42.052696,BrDale,1329 TRUMAN PL,Briardale,North,Twnhs,1.0
249,527450250,-93.627629,42.052755,BrDale,1317 TRUMAN PL,Briardale,North,Twnhs,1.0
250,527450280,-93.627396,42.052758,BrDale,1305 TRUMAN PL,Briardale,North,Twnhs,1.0
251,527450460,-93.627103,42.051798,BrDale,1220 TRUMAN PL,Briardale,North,Twnhs,1.0
252,527450520,-93.627114,42.051479,BrDale,1208 TRUMAN PL,Briardale,North,Twnhs,1.0
253,527451020,-93.629777,42.052294,BrDale,1466 TRUMAN PL,Briardale,North,TwnhsE,2.0
254,527451060,-93.629462,42.052332,BrDale,1450 TRUMAN PL,Briardale,North,Twnhs,1.0
255,527451110,-93.628119,42.052338,BrDale,1344 TRUMAN PL,Briardale,North,TwnhsE,2.0
256,527451170,-93.627242,42.051833,BrDale,1311 BARKLEY CT,Briardale,North,TwnhsE,2.0
257,527451180,-93.627271,42.051835,BrDale,1315 BARKLEY CT,Briardale,North,Twnhs,1.0
258,527451290,-93.62765,42.051678,BrDale,1358 BARKLEY CT,Briardale,North,Twnhs,1.0
259,527451320,-93.627565,42.051683,BrDale,1346 BARKLEY CT,Briardale,North,Twnhs,1.0
